,dtime,br,ba,sqft,subregion,pnr,price
19,2016-09-25 14:41,4,,,district of columbia,(Logan Circle),$5500
20,2016-09-25 14:40,,,2000,district of columbia,(Eckington/Bloomingdale),$1500
21,2016-09-25 14:40,1,,655,district of columbia,(2201 Wilson Blvd.),$2045
22,2016-09-25 14:35,1,,808,district of columbia,(College Park),$1880
23,2016-09-25 14:35,1,,810,district of columbia,(2201 Wilson Blvd.),$2510
24,2016-09-25 14:35,7,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2399
25,2016-09-25 14:35,1,,715,district of columbia,(Washington),$2300
26,2016-09-25 14:34,1,,822,district of columbia,,$2845
27,2016-09-25 14:33,1,,716,district of columbia,(Woodley Park),$2411
28,2016-09-25 14:33,1,,973,district of columbia,(450 Massachusetts Avenue),$2955
29,2016-09-25 14:33,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1719
30,2016-09-25 14:32,1,,,district of columbia,(Arlington),$1599
31,2016-09-25 14:32,1,1,718,district of columbia,(1391 Pennsylvania Avenue),$2000
32,2016-09-25 14:30,1,,872,district of columbia,(Washington),$3880
33,2016-09-25 14:30,4,,1900,district of columbia,(Washington),$1100
34,2016-09-25 14:30,1,,950,district of columbia,(Waterfront SW),$3800
35,2016-09-25 14:29,,,1188,district of columbia,(3000 N. Washington Blvd.),$3385
36,2016-09-25 14:28,1,,772,district of columbia,(Dupont Circle),$2865
37,2016-09-25 14:28,,,,district of columbia,"(Rhode Island Avenue NE, RedLine, Bloomingdale, Eckington)",$1540
38,2016-09-25 14:28,4,,1950,district of columbia,,$1100
39,2016-09-25 14:27,,,490,district of columbia,(1616 18th St. NW),$2069
40,2016-09-25 14:27,2,,912,district of columbia,(Washington),$3865
41,2016-09-25 14:27,,,491,district of columbia,(Dupont and Logan Circle),$2043
42,2016-09-25 14:25,1,,,district of columbia,(NOMA),$1575
43,2016-09-25 14:22,1,,615,district of columbia,(Adams Morgan/ Kalorama),$2425
45,2016-09-25 14:21,1,,550,district of columbia,"(Washington, DC)",$1900
46,2016-09-25 14:21,2,,1141,district of columbia,(Ellicott City - 21043 ($5.99 - Delivery)),$2720
0,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$1950
1,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$2100
2,2016-09-25 15:00,1,,659,district of columbia,(Silver Spring),$1265
3,2016-09-25 14:59,3,,,district of columbia,(Capitol Hill/NOMA/H Street/Union Station),$4200
4,2016-09-25 14:58,,,,district of columbia,(20th and F St. NW),$1425
5,2016-09-25 14:58,,,630,district of columbia,(Red Line Metro),$1735
6,2016-09-25 14:56,2,,,district of columbia,(Capitol Hill / Lincoln Park / Eastern Market / H Street),$2600
7,2016-09-25 14:55,2,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2255
8,2016-09-25 14:54,1,,550,district of columbia,(Washington),$1900
9,2016-09-25 14:53,3,,1200,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1623
10,2016-09-25 14:52,4,3,,district of columbia,(Gresham Place &amp; Georgia Ave),$3400
11,2016-09-25 14:52,1,,,district of columbia,(Washington),$1719
12,2016-09-25 14:51,3,5,,district of columbia,"(15th &amp; U ST, NW)",$4995
13,2016-09-25 14:48,,,370,district of columbia,(Adams Morgan/ Kalorama),$1780
14,2016-09-25 14:47,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1825
15,2016-09-25 14:46,2,,784,district of columbia,(Capital Heights),$1150
16,2016-09-25 14:46,1,,655,district of columbia,(2201 Wilson Blvd.),$2155
17,2016-09-25 14:44,2,,1050,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1185
18,2016-09-25 14:42,,,425,district of columbia,"(Washington, DC)",$1417
19,2016-09-25 14:41,4,,,district of columbia,(Logan Circle),$5500
20,2016-09-25 14:40,,,2000,district of columbia,(Eckington/Bloomingdale),$1500
21,2016-09-25 14:40,1,,655,district of columbia,(2201 Wilson Blvd.),$2045
22,2016-09-25 14:35,1,,808,district of columbia,(College Park),$1880
23,2016-09-25 14:35,1,,810,district of columbia,(2201 Wilson Blvd.),$2510
24,2016-09-25 14:35,7,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2399
25,2016-09-25 14:35,1,,715,district of columbia,(Washington),$2300
26,2016-09-25 14:34,1,,822,district of columbia,,$2845
27,2016-09-25 14:33,1,,716,district of columbia,(Woodley Park),$2411
28,2016-09-25 14:33,1,,973,district of columbia,(450 Massachusetts Avenue),$2955
29,2016-09-25 14:33,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1719
30,2016-09-25 14:32,1,,,district of columbia,(Arlington),$1599
31,2016-09-25 14:32,1,1,718,district of columbia,(1391 Pennsylvania Avenue),$2000
32,2016-09-25 14:30,1,,872,district of columbia,(Washington),$3880
33,2016-09-25 14:30,4,,1900,district of columbia,(Washington),$1100
34,2016-09-25 14:30,1,,950,district of columbia,(Waterfront SW),$3800
35,2016-09-25 14:29,,,1188,district of columbia,(3000 N. Washington Blvd.),$3385
36,2016-09-25 14:28,1,,772,district of columbia,(Dupont Circle),$2865
37,2016-09-25 14:28,,,,district of columbia,"(Rhode Island Avenue NE, RedLine, Bloomingdale, Eckington)",$1540
38,2016-09-25 14:28,4,,1950,district of columbia,,$1100
39,2016-09-25 14:27,,,490,district of columbia,(1616 18th St. NW),$2069
40,2016-09-25 14:27,2,,912,district of columbia,(Washington),$3865
41,2016-09-25 14:27,,,491,district of columbia,(Dupont and Logan Circle),$2043
42,2016-09-25 14:25,1,,,district of columbia,(NOMA),$1575
43,2016-09-25 14:22,1,,615,district of columbia,(Adams Morgan/ Kalorama),$2425
45,2016-09-25 14:21,1,,550,district of columbia,"(Washington, DC)",$1900
46,2016-09-25 14:21,2,,1141,district of columbia,(Ellicott City - 21043 ($5.99 - Delivery)),$2720
47,2016-09-25 14:19,2,2,1026,district of columbia,"(Washington, DC)",$3250
0,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$1950
1,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$2100
2,2016-09-25 15:00,1,,659,district of columbia,(Silver Spring),$1265
3,2016-09-25 14:59,3,,,district of columbia,(Capitol Hill/NOMA/H Street/Union Station),$4200
4,2016-09-25 14:58,,,,district of columbia,(20th and F St. NW),$1425
5,2016-09-25 14:58,,,630,district of columbia,(Red Line Metro),$1735
6,2016-09-25 14:56,2,,,district of columbia,(Capitol Hill / Lincoln Park / Eastern Market / H Street),$2600
7,2016-09-25 14:55,2,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2255
8,2016-09-25 14:54,1,,550,district of columbia,(Washington),$1900
9,2016-09-25 14:53,3,,1200,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1623
10,2016-09-25 14:52,4,3,,district of columbia,(Gresham Place &amp; Georgia Ave),$3400
11,2016-09-25 14:52,1,,,district of columbia,(Washington),$1719
12,2016-09-25 14:51,3,5,,district of columbia,"(15th &amp; U ST, NW)",$4995
13,2016-09-25 14:48,,,370,district of columbia,(Adams Morgan/ Kalorama),$1780
14,2016-09-25 14:47,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1825
15,2016-09-25 14:46,2,,784,district of columbia,(Capital Heights),$1150
16,2016-09-25 14:46,1,,655,district of columbia,(2201 Wilson Blvd.),$2155
17,2016-09-25 14:44,2,,1050,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1185
18,2016-09-25 14:42,,,425,district of columbia,"(Washington, DC)",$1417
19,2016-09-25 14:41,4,,,district of columbia,(Logan Circle),$5500
20,2016-09-25 14:40,,,2000,district of columbia,(Eckington/Bloomingdale),$1500
21,2016-09-25 14:40,1,,655,district of columbia,(2201 Wilson Blvd.),$2045
22,2016-09-25 14:35,1,,808,district of columbia,(College Park),$1880
23,2016-09-25 14:35,1,,810,district of columbia,(2201 Wilson Blvd.),$2510
24,2016-09-25 14:35,7,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2399
25,2016-09-25 14:35,1,,715,district of columbia,(Washington),$2300
26,2016-09-25 14:34,1,,822,district of columbia,,$2845
27,2016-09-25 14:33,1,,716,district of columbia,(Woodley Park),$2411
28,2016-09-25 14:33,1,,973,district of columbia,(450 Massachusetts Avenue),$2955
29,2016-09-25 14:33,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1719
30,2016-09-25 14:32,1,,,district of columbia,(Arlington),$1599
31,2016-09-25 14:32,1,1,718,district of columbia,(1391 Pennsylvania Avenue),$2000
32,2016-09-25 14:30,1,,872,district of columbia,(Washington),$3880
33,2016-09-25 14:30,4,,1900,district of columbia,(Washington),$1100
34,2016-09-25 14:30,1,,950,district of columbia,(Waterfront SW),$3800
35,2016-09-25 14:29,,,1188,district of columbia,(3000 N. Washington Blvd.),$3385
36,2016-09-25 14:28,1,,772,district of columbia,(Dupont Circle),$2865
37,2016-09-25 14:28,,,,district of columbia,"(Rhode Island Avenue NE, RedLine, Bloomingdale, Eckington)",$1540
38,2016-09-25 14:28,4,,1950,district of columbia,,$1100
39,2016-09-25 14:27,,,490,district of columbia,(1616 18th St. NW),$2069
40,2016-09-25 14:27,2,,912,district of columbia,(Washington),$3865
41,2016-09-25 14:27,,,491,district of columbia,(Dupont and Logan Circle),$2043
42,2016-09-25 14:25,1,,,district of columbia,(NOMA),$1575
43,2016-09-25 14:22,1,,615,district of columbia,(Adams Morgan/ Kalorama),$2425
45,2016-09-25 14:21,1,,550,district of columbia,"(Washington, DC)",$1900
46,2016-09-25 14:21,2,,1141,district of columbia,(Ellicott City - 21043 ($5.99 - Delivery)),$2720
47,2016-09-25 14:19,2,2,1026,district of columbia,"(Washington, DC)",$3250
48,2016-09-25 14:19,,,706,district of columbia,(3000 N. Washington Blvd.),$2130
0,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$1950
1,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$2100
2,2016-09-25 15:00,1,,659,district of columbia,(Silver Spring),$1265
3,2016-09-25 14:59,3,,,district of columbia,(Capitol Hill/NOMA/H Street/Union Station),$4200
4,2016-09-25 14:58,,,,district of columbia,(20th and F St. NW),$1425
5,2016-09-25 14:58,,,630,district of columbia,(Red Line Metro),$1735
6,2016-09-25 14:56,2,,,district of columbia,(Capitol Hill / Lincoln Park / Eastern Market / H Street),$2600
7,2016-09-25 14:55,2,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2255
8,2016-09-25 14:54,1,,550,district of columbia,(Washington),$1900
9,2016-09-25 14:53,3,,1200,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1623
10,2016-09-25 14:52,4,3,,district of columbia,(Gresham Place &amp; Georgia Ave),$3400
11,2016-09-25 14:52,1,,,district of columbia,(Washington),$1719
12,2016-09-25 14:51,3,5,,district of columbia,"(15th &amp; U ST, NW)",$4995
13,2016-09-25 14:48,,,370,district of columbia,(Adams Morgan/ Kalorama),$1780
14,2016-09-25 14:47,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1825
15,2016-09-25 14:46,2,,784,district of columbia,(Capital Heights),$1150
16,2016-09-25 14:46,1,,655,district of columbia,(2201 Wilson Blvd.),$2155
17,2016-09-25 14:44,2,,1050,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1185
18,2016-09-25 14:42,,,425,district of columbia,"(Washington, DC)",$1417
19,2016-09-25 14:41,4,,,district of columbia,(Logan Circle),$5500
20,2016-09-25 14:40,,,2000,district of columbia,(Eckington/Bloomingdale),$1500
21,2016-09-25 14:40,1,,655,district of columbia,(2201 Wilson Blvd.),$2045
22,2016-09-25 14:35,1,,808,district of columbia,(College Park),$1880
23,2016-09-25 14:35,1,,810,district of columbia,(2201 Wilson Blvd.),$2510
24,2016-09-25 14:35,7,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2399
25,2016-09-25 14:35,1,,715,district of columbia,(Washington),$2300
26,2016-09-25 14:34,1,,822,district of columbia,,$2845
27,2016-09-25 14:33,1,,716,district of columbia,(Woodley Park),$2411
28,2016-09-25 14:33,1,,973,district of columbia,(450 Massachusetts Avenue),$2955
29,2016-09-25 14:33,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1719
30,2016-09-25 14:32,1,,,district of columbia,(Arlington),$1599
31,2016-09-25 14:32,1,1,718,district of columbia,(1391 Pennsylvania Avenue),$2000
32,2016-09-25 14:30,1,,872,district of columbia,(Washington),$3880
33,2016-09-25 14:30,4,,1900,district of columbia,(Washington),$1100
34,2016-09-25 14:30,1,,950,district of columbia,(Waterfront SW),$3800
35,2016-09-25 14:29,,,1188,district of columbia,(3000 N. Washington Blvd.),$3385
36,2016-09-25 14:28,1,,772,district of columbia,(Dupont Circle),$2865
37,2016-09-25 14:28,,,,district of columbia,"(Rhode Island Avenue NE, RedLine, Bloomingdale, Eckington)",$1540
38,2016-09-25 14:28,4,,1950,district of columbia,,$1100
39,2016-09-25 14:27,,,490,district of columbia,(1616 18th St. NW),$2069
40,2016-09-25 14:27,2,,912,district of columbia,(Washington),$3865
41,2016-09-25 14:27,,,491,district of columbia,(Dupont and Logan Circle),$2043
42,2016-09-25 14:25,1,,,district of columbia,(NOMA),$1575
43,2016-09-25 14:22,1,,615,district of columbia,(Adams Morgan/ Kalorama),$2425
45,2016-09-25 14:21,1,,550,district of columbia,"(Washington, DC)",$1900
46,2016-09-25 14:21,2,,1141,district of columbia,(Ellicott City - 21043 ($5.99 - Delivery)),$2720
47,2016-09-25 14:19,2,2,1026,district of columbia,"(Washington, DC)",$3250
48,2016-09-25 14:19,,,706,district of columbia,(3000 N. Washington Blvd.),$2130
49,2016-09-25 14:14,2,,,district of columbia,(Capitol Hill),$2250
0,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$1950
1,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$2100
2,2016-09-25 15:00,1,,659,district of columbia,(Silver Spring),$1265
3,2016-09-25 14:59,3,,,district of columbia,(Capitol Hill/NOMA/H Street/Union Station),$4200
4,2016-09-25 14:58,,,,district of columbia,(20th and F St. NW),$1425
5,2016-09-25 14:58,,,630,district of columbia,(Red Line Metro),$1735
6,2016-09-25 14:56,2,,,district of columbia,(Capitol Hill / Lincoln Park / Eastern Market / H Street),$2600
7,2016-09-25 14:55,2,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2255
8,2016-09-25 14:54,1,,550,district of columbia,(Washington),$1900
9,2016-09-25 14:53,3,,1200,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1623
10,2016-09-25 14:52,4,3,,district of columbia,(Gresham Place &amp; Georgia Ave),$3400
11,2016-09-25 14:52,1,,,district of columbia,(Washington),$1719
12,2016-09-25 14:51,3,5,,district of columbia,"(15th &amp; U ST, NW)",$4995
13,2016-09-25 14:48,,,370,district of columbia,(Adams Morgan/ Kalorama),$1780
14,2016-09-25 14:47,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1825
15,2016-09-25 14:46,2,,784,district of columbia,(Capital Heights),$1150
16,2016-09-25 14:46,1,,655,district of columbia,(2201 Wilson Blvd.),$2155
17,2016-09-25 14:44,2,,1050,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1185
18,2016-09-25 14:42,,,425,district of columbia,"(Washington, DC)",$1417
19,2016-09-25 14:41,4,,,district of columbia,(Logan Circle),$5500
20,2016-09-25 14:40,,,2000,district of columbia,(Eckington/Bloomingdale),$1500
21,2016-09-25 14:40,1,,655,district of columbia,(2201 Wilson Blvd.),$2045
22,2016-09-25 14:35,1,,808,district of columbia,(College Park),$1880
23,2016-09-25 14:35,1,,810,district of columbia,(2201 Wilson Blvd.),$2510
24,2016-09-25 14:35,7,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2399
25,2016-09-25 14:35,1,,715,district of columbia,(Washington),$2300
26,2016-09-25 14:34,1,,822,district of columbia,,$2845
27,2016-09-25 14:33,1,,716,district of columbia,(Woodley Park),$2411
28,2016-09-25 14:33,1,,973,district of columbia,(450 Massachusetts Avenue),$2955
29,2016-09-25 14:33,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1719
30,2016-09-25 14:32,1,,,district of columbia,(Arlington),$1599
31,2016-09-25 14:32,1,1,718,district of columbia,(1391 Pennsylvania Avenue),$2000
32,2016-09-25 14:30,1,,872,district of columbia,(Washington),$3880
33,2016-09-25 14:30,4,,1900,district of columbia,(Washington),$1100
34,2016-09-25 14:30,1,,950,district of columbia,(Waterfront SW),$3800
35,2016-09-25 14:29,,,1188,district of columbia,(3000 N. Washington Blvd.),$3385
36,2016-09-25 14:28,1,,772,district of columbia,(Dupont Circle),$2865
37,2016-09-25 14:28,,,,district of columbia,"(Rhode Island Avenue NE, RedLine, Bloomingdale, Eckington)",$1540
38,2016-09-25 14:28,4,,1950,district of columbia,,$1100
39,2016-09-25 14:27,,,490,district of columbia,(1616 18th St. NW),$2069
40,2016-09-25 14:27,2,,912,district of columbia,(Washington),$3865
41,2016-09-25 14:27,,,491,district of columbia,(Dupont and Logan Circle),$2043
42,2016-09-25 14:25,1,,,district of columbia,(NOMA),$1575
43,2016-09-25 14:22,1,,615,district of columbia,(Adams Morgan/ Kalorama),$2425
45,2016-09-25 14:21,1,,550,district of columbia,"(Washington, DC)",$1900
46,2016-09-25 14:21,2,,1141,district of columbia,(Ellicott City - 21043 ($5.99 - Delivery)),$2720
47,2016-09-25 14:19,2,2,1026,district of columbia,"(Washington, DC)",$3250
48,2016-09-25 14:19,,,706,district of columbia,(3000 N. Washington Blvd.),$2130
49,2016-09-25 14:14,2,,,district of columbia,(Capitol Hill),$2250
50,2016-09-25 14:13,,,,district of columbia,(1916 R St NW),$965
0,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$1950
1,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$2100
2,2016-09-25 15:00,1,,659,district of columbia,(Silver Spring),$1265
3,2016-09-25 14:59,3,,,district of columbia,(Capitol Hill/NOMA/H Street/Union Station),$4200
4,2016-09-25 14:58,,,,district of columbia,(20th and F St. NW),$1425
5,2016-09-25 14:58,,,630,district of columbia,(Red Line Metro),$1735
6,2016-09-25 14:56,2,,,district of columbia,(Capitol Hill / Lincoln Park / Eastern Market / H Street),$2600
7,2016-09-25 14:55,2,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2255
8,2016-09-25 14:54,1,,550,district of columbia,(Washington),$1900
9,2016-09-25 14:53,3,,1200,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1623
10,2016-09-25 14:52,4,3,,district of columbia,(Gresham Place &amp; Georgia Ave),$3400
11,2016-09-25 14:52,1,,,district of columbia,(Washington),$1719
12,2016-09-25 14:51,3,5,,district of columbia,"(15th &amp; U ST, NW)",$4995
13,2016-09-25 14:48,,,370,district of columbia,(Adams Morgan/ Kalorama),$1780
14,2016-09-25 14:47,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1825
15,2016-09-25 14:46,2,,784,district of columbia,(Capital Heights),$1150
16,2016-09-25 14:46,1,,655,district of columbia,(2201 Wilson Blvd.),$2155
17,2016-09-25 14:44,2,,1050,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1185
18,2016-09-25 14:42,,,425,district of columbia,"(Washington, DC)",$1417
19,2016-09-25 14:41,4,,,district of columbia,(Logan Circle),$5500
20,2016-09-25 14:40,,,2000,district of columbia,(Eckington/Bloomingdale),$1500
21,2016-09-25 14:40,1,,655,district of columbia,(2201 Wilson Blvd.),$2045
22,2016-09-25 14:35,1,,808,district of columbia,(College Park),$1880
23,2016-09-25 14:35,1,,810,district of columbia,(2201 Wilson Blvd.),$2510
24,2016-09-25 14:35,7,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2399
25,2016-09-25 14:35,1,,715,district of columbia,(Washington),$2300
26,2016-09-25 14:34,1,,822,district of columbia,,$2845
27,2016-09-25 14:33,1,,716,district of columbia,(Woodley Park),$2411
28,2016-09-25 14:33,1,,973,district of columbia,(450 Massachusetts Avenue),$2955
29,2016-09-25 14:33,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1719
30,2016-09-25 14:32,1,,,district of columbia,(Arlington),$1599
31,2016-09-25 14:32,1,1,718,district of columbia,(1391 Pennsylvania Avenue),$2000
32,2016-09-25 14:30,1,,872,district of columbia,(Washington),$3880
33,2016-09-25 14:30,4,,1900,district of columbia,(Washington),$1100
34,2016-09-25 14:30,1,,950,district of columbia,(Waterfront SW),$3800
35,2016-09-25 14:29,,,1188,district of columbia,(3000 N. Washington Blvd.),$3385
36,2016-09-25 14:28,1,,772,district of columbia,(Dupont Circle),$2865
37,2016-09-25 14:28,,,,district of columbia,"(Rhode Island Avenue NE, RedLine, Bloomingdale, Eckington)",$1540
38,2016-09-25 14:28,4,,1950,district of columbia,,$1100
39,2016-09-25 14:27,,,490,district of columbia,(1616 18th St. NW),$2069
40,2016-09-25 14:27,2,,912,district of columbia,(Washington),$3865
41,2016-09-25 14:27,,,491,district of columbia,(Dupont and Logan Circle),$2043
42,2016-09-25 14:25,1,,,district of columbia,(NOMA),$1575
43,2016-09-25 14:22,1,,615,district of columbia,(Adams Morgan/ Kalorama),$2425
45,2016-09-25 14:21,1,,550,district of columbia,"(Washington, DC)",$1900
46,2016-09-25 14:21,2,,1141,district of columbia,(Ellicott City - 21043 ($5.99 - Delivery)),$2720
47,2016-09-25 14:19,2,2,1026,district of columbia,"(Washington, DC)",$3250
48,2016-09-25 14:19,,,706,district of columbia,(3000 N. Washington Blvd.),$2130
49,2016-09-25 14:14,2,,,district of columbia,(Capitol Hill),$2250
50,2016-09-25 14:13,,,,district of columbia,(1916 R St NW),$965
51,2016-09-25 14:11,2,,996,district of columbia,"(DC, Shaw, U Street)",$3646
0,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$1950
1,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$2100
2,2016-09-25 15:00,1,,659,district of columbia,(Silver Spring),$1265
3,2016-09-25 14:59,3,,,district of columbia,(Capitol Hill/NOMA/H Street/Union Station),$4200
4,2016-09-25 14:58,,,,district of columbia,(20th and F St. NW),$1425
5,2016-09-25 14:58,,,630,district of columbia,(Red Line Metro),$1735
6,2016-09-25 14:56,2,,,district of columbia,(Capitol Hill / Lincoln Park / Eastern Market / H Street),$2600
7,2016-09-25 14:55,2,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2255
8,2016-09-25 14:54,1,,550,district of columbia,(Washington),$1900
9,2016-09-25 14:53,3,,1200,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1623
10,2016-09-25 14:52,4,3,,district of columbia,(Gresham Place &amp; Georgia Ave),$3400
11,2016-09-25 14:52,1,,,district of columbia,(Washington),$1719
12,2016-09-25 14:51,3,5,,district of columbia,"(15th &amp; U ST, NW)",$4995
13,2016-09-25 14:48,,,370,district of columbia,(Adams Morgan/ Kalorama),$1780
14,2016-09-25 14:47,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1825
15,2016-09-25 14:46,2,,784,district of columbia,(Capital Heights),$1150
16,2016-09-25 14:46,1,,655,district of columbia,(2201 Wilson Blvd.),$2155
17,2016-09-25 14:44,2,,1050,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1185
18,2016-09-25 14:42,,,425,district of columbia,"(Washington, DC)",$1417
19,2016-09-25 14:41,4,,,district of columbia,(Logan Circle),$5500
20,2016-09-25 14:40,,,2000,district of columbia,(Eckington/Bloomingdale),$1500
21,2016-09-25 14:40,1,,655,district of columbia,(2201 Wilson Blvd.),$2045
22,2016-09-25 14:35,1,,808,district of columbia,(College Park),$1880
23,2016-09-25 14:35,1,,810,district of columbia,(2201 Wilson Blvd.),$2510
24,2016-09-25 14:35,7,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2399
25,2016-09-25 14:35,1,,715,district of columbia,(Washington),$2300
26,2016-09-25 14:34,1,,822,district of columbia,,$2845
27,2016-09-25 14:33,1,,716,district of columbia,(Woodley Park),$2411
28,2016-09-25 14:33,1,,973,district of columbia,(450 Massachusetts Avenue),$2955
29,2016-09-25 14:33,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1719
30,2016-09-25 14:32,1,,,district of columbia,(Arlington),$1599
31,2016-09-25 14:32,1,1,718,district of columbia,(1391 Pennsylvania Avenue),$2000
32,2016-09-25 14:30,1,,872,district of columbia,(Washington),$3880
33,2016-09-25 14:30,4,,1900,district of columbia,(Washington),$1100
34,2016-09-25 14:30,1,,950,district of columbia,(Waterfront SW),$3800
35,2016-09-25 14:29,,,1188,district of columbia,(3000 N. Washington Blvd.),$3385
36,2016-09-25 14:28,1,,772,district of columbia,(Dupont Circle),$2865
37,2016-09-25 14:28,,,,district of columbia,"(Rhode Island Avenue NE, RedLine, Bloomingdale, Eckington)",$1540
38,2016-09-25 14:28,4,,1950,district of columbia,,$1100
39,2016-09-25 14:27,,,490,district of columbia,(1616 18th St. NW),$2069
40,2016-09-25 14:27,2,,912,district of columbia,(Washington),$3865
41,2016-09-25 14:27,,,491,district of columbia,(Dupont and Logan Circle),$2043
42,2016-09-25 14:25,1,,,district of columbia,(NOMA),$1575
43,2016-09-25 14:22,1,,615,district of columbia,(Adams Morgan/ Kalorama),$2425
45,2016-09-25 14:21,1,,550,district of columbia,"(Washington, DC)",$1900
46,2016-09-25 14:21,2,,1141,district of columbia,(Ellicott City - 21043 ($5.99 - Delivery)),$2720
47,2016-09-25 14:19,2,2,1026,district of columbia,"(Washington, DC)",$3250
48,2016-09-25 14:19,,,706,district of columbia,(3000 N. Washington Blvd.),$2130
49,2016-09-25 14:14,2,,,district of columbia,(Capitol Hill),$2250
50,2016-09-25 14:13,,,,district of columbia,(1916 R St NW),$965
51,2016-09-25 14:11,2,,996,district of columbia,"(DC, Shaw, U Street)",$3646
52,2016-09-25 14:10,3,,943,district of columbia,(Capital Heights),$1425
0,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$1950
1,2016-09-25 15:00,2,1,,district of columbia,(Petworth),$2100
2,2016-09-25 15:00,1,,659,district of columbia,(Silver Spring),$1265
3,2016-09-25 14:59,3,,,district of columbia,(Capitol Hill/NOMA/H Street/Union Station),$4200
4,2016-09-25 14:58,,,,district of columbia,(20th and F St. NW),$1425
5,2016-09-25 14:58,,,630,district of columbia,(Red Line Metro),$1735
6,2016-09-25 14:56,2,,,district of columbia,(Capitol Hill / Lincoln Park / Eastern Market / H Street),$2600
7,2016-09-25 14:55,2,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$2255
8,2016-09-25 14:54,1,,550,district of columbia,(Washington),$1900
9,2016-09-25 14:53,3,,1200,district of columbia,"(13315 Edinburgh Lane • Laurel, MD 20708)",$1623
10,2016-09-25 14:52,4,3,,district of columbia,(Gresham Place &amp; Georgia Ave),$3400
11,2016-09-25 14:52,1,,,district of columbia,(Washington),$1719
12,2016-09-25 14:51,3,5,,district of columbia,"(15th &amp; U ST, NW)",$4995
13,2016-09-25 14:48,,,370,district of columbia,(Adams Morgan/ Kalorama),$1780
14,2016-09-25 14:47,1,,,district of columbia,"(Rhode Island Avenue NE, Bloomingdale, Eckington)",$1825
15,2016-09-25 14:46,2,,784,district of columbia,(Capital Heights),$1150
